   ;filename ;     age ;Nlines;include
1; mag1900 ;19.00000 ;200;no
2; mag2001 ;20.03307 ;500;yes
3; mag2015 ;20.49603 ;200;no
4; mag2101 ;21.03307 ;100;no
5; mag2115 ;21.49603 ;300;no
6; mag2127 ;21.89286 ;500;no
7; mag2200 ;22.00000 ;700;no
8; mag2201 ;22.00000 ;200;no
9; mag2203 ;22.00000 ;100;no
10; mag2215 ;22.49603 ;500;no
11; mag2216 ;22.52910 ;100;no
12; mag2220 ;22.66138 ;300;no
13; mag2227 ;22.89286 ;300;no
14; mag2300 ;23.00000 ;500;no
15; mag2320 ;23.66138 ;300;no
16; mag2400 ;24.00000 ;300;no
17; mag2415 ;24.49603 ;500;yes
18; mag2500 ;25.00000 ;200;yes
19; mag2515 ;25.49603 ;200;yes
20; mag2702 ;27.06614 ;700;yes
21; mag2710 ;27.33069 ;500;no
22; mag2810 ;28.33069 ;200;no
23; mag2825 ;28.82672 ;900;no
24; mag2900 ;29.00000 ;700;no
25; mag3001 ;30.03307 ;300;no
26; mag3010 ;30.33069 ;600;yes
27; mag3020 ;30.66138 ;500;no
28; mag3126 ;31.85979 ;400;no
29; mag3424 ;34.79365 ;600;no
