   ;filename ;     age ;Nlines;
8; jul111b ;23.76058 ;100;
9; jul200a ;24.42989 ;100;
10; jul200b ;24.85979 ;200;
11; jul201a ;25.36376 ;500;
12; jul201b ;25.82672 ;200;
13;  jul202 ;26.36376 ;200;
14;  jul203 ;27.33069 ;200;
15;  jul204 ;28.26455 ;300;
16;  jul205 ;29.26455 ;200;
17;  jul206 ;30.82672 ;300;
