   ;filename ;     age ;Nlines;
18;   jor01 ;19.52910 ;300;
19;   jor02 ;19.76058 ;300;
20;   jor03 ;20.09921 ;200;
21;   jor04 ;20.89286 ;500;
22;   jor05 ;21.36376 ;300;
23;   jor06 ;21.82672 ;500;
25;   jor08 ;23.19841 ;200;
26;   jor09 ;31.29762 ;200;
