    ;filename ;     age ;Nlines;
78;   pas01 ;20.13228 ;100;
81;   pas04 ;20.69444 ;200;
82;   pas05 ;21.03307 ;100;
83;   pas06 ;21.62831 ;200;
84;   pas07 ;22.06614 ;200;
85;   pas08 ;22.56217 ;300;
86;   pas09 ;23.19841 ;100;
89;   pas12 ;24.13228 ;200;
92;   pas15 ;26.26455 ;100;
95;   pas18 ;27.69444 ;100;
100;   pas23 ;29.66138 ;100;
101;   pas24 ;30.66138 ;100;
104;   pas27 ;33.00000 ;200;
