    ;filename ;     age ;Nlines;
158;   gui17 ;16.85979 ;300;
161;   gui21 ;21.39683 ;100;
165;   gui25 ;25.46296 ;1000;
169;   gui28 ;27.59524 ;800;
173;  gui30c ;30.33069 ;200;
175;   gui32 ;31.82672 ;100;
176;   gui33 ;33.26455 ;100;
