    ;filename ;     age ;Nlines;
138;   gis20 ;20.09921 ;600;
139;   gis21 ;20.79365 ;500;
140;   gis22 ;21.00000 ;200;
141;   gis23 ;22.23148 ;300;
142;   gis24 ;23.36376 ;400;
143;   gis25 ;25.76058 ;100;
144;   gis26 ;26.19841 ;400;
145;   gis28 ;28.82672 ;900;
146;   gis30 ;30.76058 ;100;
147;   gis32 ;32.00000 ;200;
148;   gis33 ;33.52910 ;600;
