dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20523;"2;05.23";3;"Mother;Camera_Operator;Environment;";2;eng;640;_Providence_Alex_020523-ortholines.txt;600;2;05;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20606;"2;06.06";3;"Mother;Camera_Operator;Father;";3;eng;831;_Providence_Alex_020606-ortholines.txt;800;2;06;06
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20620;"2;06.20";3;"Mother;Camera_Operator;Father;";3;eng;804;_Providence_Alex_020620-ortholines.txt;800;2;06;20
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20705;"2;07.05";3;"Mother;Adult;Camera_Operator;";3;eng;809;_Providence_Alex_020705-ortholines.txt;800;2;07;05
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20724;"2;07.24";3;"Mother;Camera_Operator;Grandfather;";3;eng;1221;_Providence_Alex_020724-ortholines.txt;1200;2;07;24
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20810;"2;08.10";3;"Mother;Father;Camera_Operator;";3;eng;835;_Providence_Alex_020810-ortholines.txt;800;2;08;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20816;"2;08.16";5;"Mother;Unidentified;Grandmother;Environment;Camera_Operator;";4;eng;795;_Providence_Alex_020816-ortholines.txt;700;2;08;16
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20828;"2;08.28";5;"Mother;Camera_Operator;Grandmother;Environment;Toy;";3;eng;643;_Providence_Alex_020828-ortholines.txt;600;2;08;28
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20913;"2;09.13";4;"Mother;Camera_Operator;Environment;Father;";3;eng;916;_Providence_Alex_020913-ortholines.txt;900;2;09;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;20926;"2;09.26";3;"Mother;Grandmother;Camera_Operator;";3;eng;713;_Providence_Alex_020926-ortholines.txt;700;2;09;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;21011;"2;10.11";5;"Mother;Camera_Operator;Father;Adult;Grandmother;";5;eng;648;_Providence_Alex_021011-ortholines.txt;600;2;10;11
