    ;filename ;     age ;Nlines;include
323;10412;16.39683 ;1000;no
324;10427;16.89286 ;900;no
325;10605;18.16534 ;1000;no
326;10619;18.62831 ;1000;no
327;10708;19.26455 ;1000;no
328;10718;19.59524 ;700;no
329;10802;20.06614 ;900;no
330;10814;20.46296 ;1200;no
331;10829;20.95899 ;400;yes
332;10912;21.39683 ;1100;no
333;10927;21.89286 ;600;yes
334;11012;22.39683 ;900;no
335;11100;23.00000 ;600;no
336;11115;23.49603 ;700;no
337;20012;24.39683 ;900;no
338;20028;24.92593 ;700;no
339;20109;25.29762 ;300;yes
340;20127;25.89286 ;800;no
341;20209;26.29762 ;800;no
342;20221;26.69444 ;600;no
343;20307;27.23148 ;700;no
344;20319;27.62831 ;800;no
345;20403;28.09921 ;500;yes
346;20416;28.52910 ;600;no
347;20500;29.00000 ;100;yes
348;20516;29.52910 ;900;no
349;20529;29.95899 ;600;no
350;20612;30.39683 ;700;no
351;20626;30.85979 ;400;no
352;20708;31.26455 ;600;no
353;20726;31.85979 ;800;no
354;20808;32.26455 ;700;no
355;20822;32.72751 ;300;no
356;20905;33.16534 ;600;no
357;21100;35.00000 ;600;no
358;21114;35.46296 ;700;no
