    ;filename ;     age ;Nlines;include
53;1104;11.13228 ;600;no
54;1121;11.69444 ;900;no
55;10006;12.19841 ;1000;no
56;10021;12.69444 ;800;no
57;10105;13.16534 ;800;no
58;10117;13.56217 ;900;no
59;10201;14.03307 ;700;no
60;10218;14.59524 ;900;no
61;10228;14.92593 ;600;no
62;10315;15.49603 ;900;no
63;10400;16.00000 ;600;no
64;10411;16.36376 ;700;no
65;10426;16.85979 ;500;no
66;10517;17.56217 ;700;no
67;10602;18.06614 ;600;no
68;10620;18.66138 ;700;no
69;10700;19.00000 ;500;yes
70;10714;19.46296 ;800;no
71;10726;19.85979 ;700;no
72;10804;20.13228 ;600;no
73;10820;20.66138 ;700;no
74;10904;21.13228 ;500;no
75;10918;21.59524 ;100;no
76;10926;21.85979 ;800;no
77;11011;22.36376 ;500;yes
78;11023;22.76058 ;700;no
79;11110;23.33069 ;500;no
80;11121;23.69444 ;800;no
81;20007;24.23148 ;300;no
82;20025;24.82672 ;600;no
83;20122;25.72751 ;600;no
84;20208;26.26455 ;400;yes
85;20222;26.72751 ;700;no
86;20319;27.62831 ;800;no
87;20402;28.06614 ;900;no
88;20419;28.62831 ;700;yes
89;20500;29.00000 ;700;no
90;20515;29.49603 ;700;no
91;20526;29.85979 ;800;no
92;20611;30.36376 ;600;yes
93;20624;30.79365 ;700;no
94;20709;31.29762 ;700;no
95;20725;31.82672 ;700;no
96;20810;32.33069 ;800;no
97;20900;33.00000 ;800;no
98;20907;33.23148 ;700;no
99;20920;33.66138 ;800;no
100;21005;34.16534 ;700;no
101;21018;34.59524 ;700;no
102;21101;35.03307 ;800;no
